bin_label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Cold,9.6864265,9.6191545,10.207754,10.849936,10.840098000000001,11.494185,11.8743445,12.1795235,12.210333,12.352096,12.5105985,12.821741,13.3587495,13.816327999999999,13.887544,13.774573499999999,13.6852175,13.95475725,14.232418,14.781499,15.2988865,15.7463155,16.098462,16.283224,16.309821,16.414521999999998,16.2882375,16.07151
Cool,5.62856195,5.6301075,5.85475495,5.8990912,6.3040358,6.554266999999999,6.50585885,6.80475265,7.25843595,7.58153725,7.92659185,8.6224065,9.582732,10.06262025,10.238553,10.257714499999999,10.267519499999999,10.005766,9.752816,9.6425595,9.474754,9.5417635,9.4722445,9.6072025,9.663985,9.720289999999999,9.953346499999999,9.9019615
Optimum,1.3158954999999999,2.27743765,1.6798967500000002,1.27735355,1.7209509500000002,1.69632945,1.57141835,1.57942075,1.43858215,1.22783855,0.9536687,0.7154377999999999,0.764986155,0.4029804,0.13727919500000002,0.18372134,0.36070769999999996,0.5568645999999999,0.625769485,0.79830795,0.733439445,0.584793925,0.922227675,1.14716015,1.1817712,1.0179125,1.17665175,1.1637206
Warm_Stress,0.9287638300000001,0.31630744,1.4399313,2.0954099,2.25300575,2.3877277,2.55840705,2.75746045,2.6539767999999997,2.48650375,2.5385097500000002,2.6143272,2.4154115000000003,2.6029847999999998,2.8919842,2.8630066999999997,3.0262152,3.0972495,3.0776442,2.91932235,2.79144725,2.55710235,2.4642161500000004,2.3380463000000002,2.2170831,1.99751725,1.9729397,2.06802785
Extreme_Heat,0.6666346000000001,1.0935928,1.6957228500000001,1.76193595,1.76529305,1.4750096,1.2848115999999998,1.0042466,0.87717715,0.83682222,0.7773429000000001,0.59251397,0.477727565,0.456471905,0.30167283,0.21328519,0.1239406075,0.21820530500000002,0.32959071500000003,0.28481937999999996,0.40348626499999996,0.46768278,0.32081754,0.500018405,0.51592875,0.4925345,0.327725545,0.19571808000000002
