target,bin_label,omni_var,mean_rho,median_rho,n_scenarios,perc_sig
sif_740nm,Cold,f10_7_mean_ma4,0.002234372620781235,0.0264688376337289,3,0.0
sif_740nm,Cold,f10_7_mean_ma40,-0.00015417300164700018,0.0203485824167728,3,0.0
sif_740nm,Cold,f10_7_mean_ma5,0.0022756624966860004,0.026004483923316,3,0.0
sif_740nm,Cold,f10_7_mean_ma50,8.257913092773554e-05,0.0201991870999336,3,0.0
sif_740nm,Cold,f10_7_mean_ma6,0.0025636963546276,0.0259478501975536,3,0.0
sif_740nm,Cold,f10_7_mean_ma60,-0.0008340515196323672,0.0209571179002523,3,0.0
sif_740nm,Cold,f10_7_mean_ma7,0.0024289693683385663,0.0258522350341081,3,0.0
sif_740nm,Cold,f10_7_mean_ma75,0.0016058416416247316,0.0251663848757743,3,0.0
sif_740nm,Cold,f10_7_mean_ma8,0.0022589899599552016,0.0256217382848262,3,0.0
sif_740nm,Cold,f10_7_mean_ma9,0.0019824001938104677,0.0256892908364534,3,0.0
sif_740nm,Cold,f10_7_mean_ma90,0.0021908748894929656,0.0264126677066087,3,0.0
sif_740nm,Cold,kp_max,-0.02762677334249013,-0.0232236459851264,3,0.0
sif_740nm,Cold,kp_max_diff,0.009070854323605666,0.0149476015940308,3,0.0
sif_740nm,Cold,kp_max_lag1,-0.030436930867532835,-0.0393677353858947,3,66.66666666666666
sif_740nm,Cold,kp_max_lag12,-0.025838048507769898,-0.0450010485947132,3,66.66666666666666
sif_740nm,Cold,kp_max_lag15,-0.02524302573874587,-0.0333068892359733,3,66.66666666666666
sif_740nm,Cold,kp_max_lag18,-0.030965936680634798,-0.0305892527103424,3,0.0
sif_740nm,Cold,kp_max_lag2,-0.029787089986105766,-0.0483928732573986,3,66.66666666666666
sif_740nm,Cold,kp_max_lag21,-0.02788606177394583,-0.0384758040308952,3,66.66666666666666
sif_740nm,Cold,kp_max_lag24,-0.028324011247605068,-0.039084255695343,3,66.66666666666666
sif_740nm,Cold,kp_max_lag27,-0.022936541587114265,-0.0231002513319253,3,0.0
sif_740nm,Cold,kp_max_lag3,-0.02884293782214323,-0.0527747273445129,3,66.66666666666666
sif_740nm,Cold,kp_max_lag30,-0.009753314157327,-0.0286919828504323,3,0.0
sif_740nm,Cold,kp_max_lag33,-0.027053537157674567,-0.037853293120861,3,66.66666666666666
sif_740nm,Cold,kp_max_lag36,-0.03160265833139417,-0.0347725301980972,3,66.66666666666666
sif_740nm,Cold,kp_max_lag39,0.009966699507003787,-8.991232789412607e-07,3,0.0
sif_740nm,Cold,kp_max_lag42,0.016530616674572233,0.025626691058278,3,0.0
sif_740nm,Cold,kp_max_lag45,0.024249652090171898,0.0291988067328929,3,0.0
sif_740nm,Cold,kp_max_lag48,0.020031563937664,0.0401080064475536,3,66.66666666666666
sif_740nm,Cold,kp_max_lag51,0.04151944575520847,0.0599566437304019,3,66.66666666666666
sif_740nm,Cold,kp_max_lag54,0.02864314367373783,0.0647928789258003,3,66.66666666666666
sif_740nm,Cold,kp_max_lag57,0.031726346661647135,0.0675367265939712,3,66.66666666666666
sif_740nm,Cold,kp_max_lag6,-0.03185182685653367,-0.0587502270936965,3,66.66666666666666
sif_740nm,Cold,kp_max_lag60,0.04757087491452693,0.0751588642597198,3,66.66666666666666
sif_740nm,Cold,kp_max_lag63,0.05188916406283773,0.0803247168660163,3,66.66666666666666
sif_740nm,Cold,kp_max_lag66,0.058194984061022574,0.0907998010516166,3,66.66666666666666
sif_740nm,Cold,kp_max_lag69,0.054080817848443964,0.1046087592840194,3,100.0
sif_740nm,Cold,kp_max_lag72,0.06755981314927337,0.1010839417576789,3,66.66666666666666
sif_740nm,Cold,kp_max_lag75,0.06512436550110577,0.1000950261950492,3,66.66666666666666
sif_740nm,Cold,kp_max_lag78,0.06657640387614566,0.122327372431755,3,100.0
sif_740nm,Cold,kp_max_lag81,0.07978170240918797,0.1302688419818878,3,66.66666666666666
sif_740nm,Cold,kp_max_lag84,0.08221471806367232,0.1341250538825988,3,66.66666666666666
sif_740nm,Cold,kp_max_lag87,0.06887387484312053,0.1269715875387191,3,100.0
