target,scenario,bin_id,bin_label,mode,n_windows,p_sii_win
sif_757nm,Global_High_LAI,2,Optimum,ALL,66,0.0
sif_757nm,Global_High_LAI,2,Optimum,LAG,32,0.0
sif_757nm,Global_High_LAI,2,Optimum,MA,34,0.0
sif_757nm,Global_High_LAI,3,Warm_Stress,ALL,66,0.030303030303030304
sif_757nm,Global_High_LAI,3,Warm_Stress,LAG,32,0.0625
sif_757nm,Global_High_LAI,3,Warm_Stress,MA,34,0.0
sif_757nm,Global_High_LAI,4,Extreme_Heat,ALL,66,0.0
sif_757nm,Global_High_LAI,4,Extreme_Heat,LAG,32,0.0
sif_757nm,Global_High_LAI,4,Extreme_Heat,MA,34,0.0
sif_757nm,SAA_High_LAI,0,Cold,ALL,66,0.48484848484848486
sif_757nm,SAA_High_LAI,0,Cold,LAG,32,0.4375
sif_757nm,SAA_High_LAI,0,Cold,MA,34,0.5294117647058824
sif_757nm,SAA_High_LAI,1,Cool,ALL,66,0.8636363636363636
sif_757nm,SAA_High_LAI,1,Cool,LAG,32,0.75
sif_757nm,SAA_High_LAI,1,Cool,MA,34,0.9705882352941176
sif_757nm,SAA_High_LAI,2,Optimum,ALL,66,0.6363636363636364
sif_757nm,SAA_High_LAI,2,Optimum,LAG,32,0.28125
sif_757nm,SAA_High_LAI,2,Optimum,MA,34,0.9705882352941176
sif_757nm,SAA_High_LAI,3,Warm_Stress,ALL,66,0.18181818181818182
sif_757nm,SAA_High_LAI,3,Warm_Stress,LAG,32,0.125
sif_757nm,SAA_High_LAI,3,Warm_Stress,MA,34,0.23529411764705882
sif_757nm,SAA_High_LAI,4,Extreme_Heat,ALL,66,0.6060606060606061
sif_757nm,SAA_High_LAI,4,Extreme_Heat,LAG,32,0.625
sif_757nm,SAA_High_LAI,4,Extreme_Heat,MA,34,0.5882352941176471
sif_757nm,Sahara_Barren,1,Cool,ALL,66,0.015151515151515152
sif_757nm,Sahara_Barren,1,Cool,LAG,32,0.03125
sif_757nm,Sahara_Barren,1,Cool,MA,34,0.0
sif_757nm,Sahara_Barren,2,Optimum,ALL,66,0.15151515151515152
sif_757nm,Sahara_Barren,2,Optimum,LAG,32,0.21875
sif_757nm,Sahara_Barren,2,Optimum,MA,34,0.08823529411764706
sif_757nm,Sahara_Barren,3,Warm_Stress,ALL,66,0.5757575757575758
sif_757nm,Sahara_Barren,3,Warm_Stress,LAG,32,0.5
sif_757nm,Sahara_Barren,3,Warm_Stress,MA,34,0.6470588235294118
sif_757nm,Sahara_Barren,4,Extreme_Heat,ALL,66,0.803030303030303
sif_757nm,Sahara_Barren,4,Extreme_Heat,LAG,32,0.6875
sif_757nm,Sahara_Barren,4,Extreme_Heat,MA,34,0.9117647058823529
sif_771nm,Control_North,0,Cold,ALL,66,0.9545454545454546
sif_771nm,Control_North,0,Cold,LAG,32,0.9375
sif_771nm,Control_North,0,Cold,MA,34,0.9705882352941176
sif_771nm,Control_North,1,Cool,ALL,66,0.5757575757575758
sif_771nm,Control_North,1,Cool,LAG,32,0.1875
sif_771nm,Control_North,1,Cool,MA,34,0.9411764705882353
sif_771nm,Control_North,2,Optimum,ALL,66,0.09090909090909091
sif_771nm,Control_North,2,Optimum,LAG,32,0.15625
sif_771nm,Control_North,2,Optimum,MA,34,0.029411764705882353
sif_771nm,Control_North,3,Warm_Stress,ALL,66,0.6060606060606061
sif_771nm,Control_North,3,Warm_Stress,LAG,32,0.3125
sif_771nm,Control_North,3,Warm_Stress,MA,34,0.8823529411764706
sif_771nm,Control_North,4,Extreme_Heat,ALL,66,0.21212121212121213
sif_771nm,Control_North,4,Extreme_Heat,LAG,32,0.25
sif_771nm,Control_North,4,Extreme_Heat,MA,34,0.17647058823529413
sif_771nm,Global_High_LAI,0,Cold,ALL,66,0.9393939393939394
sif_771nm,Global_High_LAI,0,Cold,LAG,32,0.90625
sif_771nm,Global_High_LAI,0,Cold,MA,34,0.9705882352941176
sif_771nm,Global_High_LAI,1,Cool,ALL,66,0.5909090909090909
sif_771nm,Global_High_LAI,1,Cool,LAG,32,0.1875
sif_771nm,Global_High_LAI,1,Cool,MA,34,0.9705882352941176
sif_771nm,Global_High_LAI,2,Optimum,ALL,66,0.8636363636363636
sif_771nm,Global_High_LAI,2,Optimum,LAG,32,0.75
sif_771nm,Global_High_LAI,2,Optimum,MA,34,0.9705882352941176
sif_771nm,Global_High_LAI,3,Warm_Stress,ALL,66,0.8636363636363636
sif_771nm,Global_High_LAI,3,Warm_Stress,LAG,32,0.75
sif_771nm,Global_High_LAI,3,Warm_Stress,MA,34,0.9705882352941176
sif_771nm,Global_High_LAI,4,Extreme_Heat,ALL,66,0.3181818181818182
sif_771nm,Global_High_LAI,4,Extreme_Heat,LAG,32,0.21875
sif_771nm,Global_High_LAI,4,Extreme_Heat,MA,34,0.4117647058823529
sif_771nm,SAA_High_LAI,0,Cold,ALL,66,0.0
sif_771nm,SAA_High_LAI,0,Cold,LAG,32,0.0
sif_771nm,SAA_High_LAI,0,Cold,MA,34,0.0
sif_771nm,SAA_High_LAI,1,Cool,ALL,66,0.4090909090909091
sif_771nm,SAA_High_LAI,1,Cool,LAG,32,0.53125
sif_771nm,SAA_High_LAI,1,Cool,MA,34,0.29411764705882354
sif_771nm,SAA_High_LAI,2,Optimum,ALL,66,0.48484848484848486
sif_771nm,SAA_High_LAI,2,Optimum,LAG,32,0.1875
sif_771nm,SAA_High_LAI,2,Optimum,MA,34,0.7647058823529411
sif_771nm,SAA_High_LAI,3,Warm_Stress,ALL,66,0.7424242424242424
sif_771nm,SAA_High_LAI,3,Warm_Stress,LAG,32,0.75
sif_771nm,SAA_High_LAI,3,Warm_Stress,MA,34,0.7352941176470589
sif_771nm,SAA_High_LAI,4,Extreme_Heat,ALL,66,0.5151515151515151
sif_771nm,SAA_High_LAI,4,Extreme_Heat,LAG,32,0.59375
sif_771nm,SAA_High_LAI,4,Extreme_Heat,MA,34,0.4411764705882353
sif_771nm,Sahara_Barren,1,Cool,ALL,66,0.6363636363636364
sif_771nm,Sahara_Barren,1,Cool,LAG,32,0.5625
sif_771nm,Sahara_Barren,1,Cool,MA,34,0.7058823529411765
sif_771nm,Sahara_Barren,2,Optimum,ALL,66,0.3333333333333333
sif_771nm,Sahara_Barren,2,Optimum,LAG,32,0.46875
sif_771nm,Sahara_Barren,2,Optimum,MA,34,0.20588235294117646
sif_771nm,Sahara_Barren,3,Warm_Stress,ALL,66,0.06060606060606061
sif_771nm,Sahara_Barren,3,Warm_Stress,LAG,32,0.0625
sif_771nm,Sahara_Barren,3,Warm_Stress,MA,34,0.058823529411764705
sif_771nm,Sahara_Barren,4,Extreme_Heat,ALL,66,0.015151515151515152
sif_771nm,Sahara_Barren,4,Extreme_Heat,LAG,32,0.03125
sif_771nm,Sahara_Barren,4,Extreme_Heat,MA,34,0.0
sif_stress_index,Control_North,0,Cold,ALL,66,0.0
sif_stress_index,Control_North,0,Cold,LAG,32,0.0
sif_stress_index,Control_North,0,Cold,MA,34,0.0
sif_stress_index,Control_North,1,Cool,ALL,66,0.0
sif_stress_index,Control_North,1,Cool,LAG,32,0.0
sif_stress_index,Control_North,1,Cool,MA,34,0.0
sif_stress_index,Control_North,2,Optimum,ALL,66,0.0
sif_stress_index,Control_North,2,Optimum,LAG,32,0.0
sif_stress_index,Control_North,2,Optimum,MA,34,0.0
sif_stress_index,Control_North,3,Warm_Stress,ALL,66,0.9848484848484849
sif_stress_index,Control_North,3,Warm_Stress,LAG,32,0.96875
sif_stress_index,Control_North,3,Warm_Stress,MA,34,1.0
sif_stress_index,Control_North,4,Extreme_Heat,ALL,66,0.48484848484848486
sif_stress_index,Control_North,4,Extreme_Heat,LAG,32,0.3125
sif_stress_index,Control_North,4,Extreme_Heat,MA,34,0.6470588235294118
sif_stress_index,Global_High_LAI,0,Cold,ALL,66,0.0
sif_stress_index,Global_High_LAI,0,Cold,LAG,32,0.0
sif_stress_index,Global_High_LAI,0,Cold,MA,34,0.0
sif_stress_index,Global_High_LAI,1,Cool,ALL,66,0.0
sif_stress_index,Global_High_LAI,1,Cool,LAG,32,0.0
sif_stress_index,Global_High_LAI,1,Cool,MA,34,0.0
sif_stress_index,Global_High_LAI,2,Optimum,ALL,66,0.0
sif_stress_index,Global_High_LAI,2,Optimum,LAG,32,0.0
sif_stress_index,Global_High_LAI,2,Optimum,MA,34,0.0
sif_stress_index,Global_High_LAI,3,Warm_Stress,ALL,66,0.36363636363636365
sif_stress_index,Global_High_LAI,3,Warm_Stress,LAG,32,0.375
sif_stress_index,Global_High_LAI,3,Warm_Stress,MA,34,0.35294117647058826
sif_stress_index,Global_High_LAI,4,Extreme_Heat,ALL,66,0.0
sif_stress_index,Global_High_LAI,4,Extreme_Heat,LAG,32,0.0
sif_stress_index,Global_High_LAI,4,Extreme_Heat,MA,34,0.0
sif_stress_index,SAA_High_LAI,0,Cold,ALL,66,0.9090909090909091
sif_stress_index,SAA_High_LAI,0,Cold,LAG,32,0.8125
sif_stress_index,SAA_High_LAI,0,Cold,MA,34,1.0
sif_stress_index,SAA_High_LAI,1,Cool,ALL,66,0.8636363636363636
sif_stress_index,SAA_High_LAI,1,Cool,LAG,32,0.71875
sif_stress_index,SAA_High_LAI,1,Cool,MA,34,1.0
sif_stress_index,SAA_High_LAI,2,Optimum,ALL,66,0.6515151515151515
