target,scenario,n_bins,delta_acc_diff_mean,delta_acc_diff_median,auc_ma_ratio_mean,auc_ma_ratio_median,p_sii_win_weighted,n_windows_total
sif_740nm,Control_North,5,0.01201043286889802,0.0070410058887059,4.4269567767546585,4.729959427622404,0.7393939393939394,330.0
sif_740nm,Global_High_LAI,5,0.01287634494924322,0.0106699943996428,2.3241097029052273,2.3794047024883467,0.6393939393939394,330.0
sif_740nm,SAA_High_LAI,5,0.0020886222685874653,0.0033493315448844,1.0574234209670543,0.8806312667406825,0.42727272727272725,330.0
sif_740nm,Sahara_Barren,4,0.023789072156431924,0.00825386780449935,1.3650451631431961,0.7394317757462143,0.35984848484848486,264.0
sif_757nm,Control_North,5,0.007808873966919159,0.0054176135908073995,1.4412873200941427,1.4892798271456593,0.6424242424242425,330.0
sif_757nm,Global_High_LAI,5,0.0124099961520027,0.0069545064988493,0.9490693648421102,0.9349076117551641,0.23333333333333334,330.0
sif_757nm,SAA_High_LAI,5,0.005160665957137436,0.005404208553186076,1.2985702808922894,1.003620140859593,0.5545454545454546,330.0
sif_757nm,Sahara_Barren,4,0.02454360094217782,0.0171185411763017,5.240725609808912,4.890703828729002,0.38636363636363635,264.0
sif_771nm,Control_North,5,0.0086650749486293,0.0099572094422366,9.923743143570281,1.382925251351705,0.48787878787878786,330.0
sif_771nm,Global_High_LAI,5,0.01108188769327784,0.0099977583207921,8.074328370948605,4.6808277502852915,0.7151515151515152,330.0
sif_771nm,SAA_High_LAI,5,-0.003586880911186539,0.0007765157420913001,1.7320005049304785,0.8781498064126205,0.4303030303030303,330.0
sif_771nm,Sahara_Barren,4,0.00724921258220195,0.0022952123594404002,0.8583591332358214,0.4330258503619713,0.26136363636363635,264.0
sif_stress_index,Control_North,5,0.016439773999103714,0.015126634182300458,2.591168866877921,0.6631469358821418,0.29393939393939394,330.0
sif_stress_index,Global_High_LAI,5,0.005781634182856046,0.0058140265512271,0.6316942909262868,0.6111204415572126,0.07272727272727272,330.0
sif_stress_index,SAA_High_LAI,5,0.0170303598238004,0.013698561382591899,5.115113313685587,2.6837562325065565,0.6484848484848484,330.0
sif_stress_index,Sahara_Barren,4,0.039370077821719446,0.01112053779929625,3.3792253156104626,1.0969765005156507,0.3068181818181818,264.0
