metric,bin,mask,mode,sii_step,par_step,vpd_step,beta_sii,t_sii,p_sii,n_eff,n,t_par,t_vpd
sif_757nm,Warm_Stress,SAA_High_LAI,MA,26.0,17.0,28.0,-0.00068386405,-4.2286386,2.367337693942595e-05,12877.462215704736,12770.0,-3.9403965,-6.699595
sif_757nm,Warm_Stress,Control_North,MA,28.0,16.0,28.0,0.0005559858,4.9885483,6.423837872748805e-07,3056.720050899881,4544.0,-2.3540096,2.7427652
sif_757nm,Warm_Stress,Sahara_Barren,MA,28.0,13.0,9.0,0.0007088762,2.4546046,0.0143905908240353,596.1857630790043,524.0,-1.3106331,-2.3698645
sif_757nm,Extreme_Heat,Global_High_LAI,MA,27.0,28.0,25.0,0.0005072139,7.919787406921387,2.664535259100376e-15,15319.564911746333,19286.0,8.2770414352417,-4.241213321685791
sif_757nm,Extreme_Heat,SAA_High_LAI,MA,11.0,28.0,28.0,-0.0013039652,-4.6249013,4.426837280302465e-06,740.062320636163,905.0,-1.9683002,-3.4675987
sif_757nm,Extreme_Heat,Control_North,MA,3.0,16.0,21.0,0.00021775102,2.9448302,0.0033555888776382,608.291295905589,766.0,0.68405706,2.0324576
sif_757nm,Extreme_Heat,Sahara_Barren,MA,23.0,23.0,17.0,0.001081977,2.8898098,0.0044896696724952,139.63289769612885,96.0,1.5747502,-2.1155221
sif_771nm,Cold,Global_High_LAI,MA,26.0,26.0,2.0,-0.0004959678,-16.518983010387945,0.0,62557.91003159387,70464.0,-0.5599355610603545,-16.367727085378334
sif_771nm,Cold,SAA_High_LAI,MA,1.0,1.0,3.0,-0.0002252688,-1.2395598,0.2152576088411752,2441.2530389585963,2308.0,-0.23824963,-0.42052403
sif_771nm,Cold,Control_North,MA,26.0,28.0,17.0,-0.0005044805,-17.652317,0.0,53845.65005223727,64197.0,-7.919743,-0.94181234
sif_771nm,Cold,Sahara_Barren,MA,,,,,,,,,,
sif_771nm,Cool,Global_High_LAI,MA,16.0,12.0,28.0,-0.00024967836,-9.713349502233514,0.0,63157.68318410211,70876.0,4.18452458052318,-7.252749391467584
sif_771nm,Cool,SAA_High_LAI,MA,14.0,1.0,2.0,-0.00033080735,-2.4782932,0.0132200938820472,8700.962418321704,7877.0,-3.8771608,-0.13511345
sif_771nm,Cool,Control_North,MA,15.0,28.0,18.0,-0.00027412426,-12.837321,0.0,41317.71512542353,55103.0,-16.163834,3.494986
sif_771nm,Cool,Sahara_Barren,MA,1.0,1.0,13.0,0.0001638672,2.384765,0.0172786619160068,987.6385530801704,832.0,-2.4037037,4.432234
sif_771nm,Optimum,Global_High_LAI,MA,25.0,11.0,10.0,0.00025172083,6.477892814560412,9.33486621335078e-11,127764.1156276874,119569.0,-9.179498962061531,-7.752325275575555
sif_771nm,Optimum,SAA_High_LAI,MA,1.0,2.0,1.0,0.00031079998,3.6172643,0.0002984084268475,21713.13067786941,19018.0,-6.831528,-1.5708965
sif_771nm,Optimum,Control_North,MA,2.0,28.0,9.0,-3.7530586e-05,-3.0943818,0.0019740110799191,30634.492802875488,36500.0,-6.8460026,8.809585
sif_771nm,Optimum,Sahara_Barren,MA,5.0,25.0,1.0,-0.00015707228,-2.6797154,0.0074099259884314,2918.047789157448,2889.0,-2.129986,3.3490906
sif_771nm,Warm_Stress,Global_High_LAI,MA,26.0,13.0,13.0,0.00024943656,5.538773526683916,3.055402331142432e-08,80998.69723090772,78125.0,-9.739926492646518,-16.47760887850137
sif_771nm,Warm_Stress,SAA_High_LAI,MA,24.0,1.0,10.0,-0.0004411653,-2.0414567,0.0412240395365774,14095.839517135244,12770.0,-5.7080474,-5.3772235
sif_771nm,Warm_Stress,Control_North,MA,18.0,15.0,23.0,0.0002757396,3.5191934,0.0004389953677439,3150.392024429825,4544.0,-1.4850132,3.307274
sif_771nm,Warm_Stress,Sahara_Barren,MA,5.0,26.0,4.0,-0.00028096134,-2.3545423,0.018908642631882,535.0346826269982,524.0,-3.0582316,1.5072801
sif_771nm,Extreme_Heat,Global_High_LAI,MA,3.0,28.0,28.0,0.0001178244,3.881717205047608,0.0001040739872204,18894.926247883457,19286.0,-2.7861759662628174,2.707920789718628
sif_771nm,Extreme_Heat,SAA_High_LAI,MA,11.0,28.0,23.0,-0.0011426951,-2.1164956,0.034562124219565,954.2380166735544,905.0,-1.7366095,0.29841217
