target,scenario,bin_id,bin_label,f_auc_lag,sii_auc_lag,f_auc_ma,sii_auc_ma,f_delta_acc,sii_delta_acc,delta_acc_diff,auc_ma_ratio
sif_740nm,Control_North,0,Cold,0.0344118813007495,0.0791720911372864,0.032147854574718,0.0839490702999608,-0.0022640267260315,0.0047769791626744,0.0070410058887059,2.6113428535284213
sif_740nm,Control_North,1,Cool,0.009335203204204,0.0158704563231211,0.0076559946045079,0.0362125438574184,-0.001679208599696,0.0203420875342972,0.022021296133993198,4.729959427622404
sif_740nm,Control_North,2,Optimum,0.0198997437675015,0.0194948020282762,0.0193431524094382,0.0148122985661454,-0.0005565913580632,-0.0046825034621307,-0.0041259121040675,0.7657644551731889
sif_740nm,Control_North,3,Warm_Stress,0.0073065270516987,0.0211584866952095,0.0085832284003266,0.0537471370860734,0.0012767013486279,0.0325886503908639,0.031311949042236,6.2618789317115535
sif_740nm,Control_North,4,Extreme_Heat,0.0131808091330452,0.0416999911629949,0.0047773840258827,0.0371003914394548,-0.0084034251071625,-0.00459959972354,0.0038038253836225003,7.765838215737722
sif_740nm,Global_High_LAI,0,Cold,0.0297057008360497,0.0743018464309991,0.0270216389104995,0.076785129520608,-0.0026840619255502,0.0024832830896089,0.0051673450151591,2.841616297772836
sif_740nm,Global_High_LAI,1,Cool,0.0079082011441739,0.0123842613995773,0.0066438398712421,0.0255249705695836,-0.0012643612729318,0.0131407091700063,0.0144050704429381,3.8419003263562366
sif_740nm,Global_High_LAI,2,Optimum,0.0142732990448558,0.0218750068853149,0.0132460779690986,0.0315177802092005,-0.0010272210757572,0.0096427733238856,0.0106699943996428,2.3794047024883467
sif_740nm,Global_High_LAI,3,Warm_Stress,0.0167165921722683,0.0236565652406992,0.0163798776948775,0.0328890889216613,-0.0003367144773908,0.009232523680962,0.0095692381583528,2.007895878975137
sif_740nm,Global_High_LAI,4,Extreme_Heat,0.0912782976526213,0.0243847125702076,0.093996116523339,0.0516726081710485,0.0027178188707176,0.0272878956008409,0.024570076730123302,0.5497313089335805
sif_740nm,SAA_High_LAI,0,Cold,0.0514557759748666,0.0196950742330582,0.0515486236884634,0.02714529628574,9.284771359677202e-05,0.0074502220526817,0.007357374339084928,0.526595946572578
sif_740nm,SAA_High_LAI,1,Cool,0.0109475700078689,0.0165394033174839,0.0105493974388163,0.0194905622933158,-0.0003981725690525,0.0029511589758319,0.0033493315448844,1.8475521854547505
sif_740nm,SAA_High_LAI,2,Optimum,0.0289430225679595,0.0235747575802687,0.0265256903146143,0.0440340263025108,-0.0024173322533452,0.0204592687222421,0.0228766009755873,1.6600520393714429
sif_740nm,SAA_High_LAI,3,Warm_Stress,0.0164559991247478,0.0123494923456231,0.0166564319988255,0.0062009508914563,0.0002004328740777,-0.0061485414541668,-0.0063489743282445004,0.3722856666958175
