bin_label,window,driver,rho_abs,p_adj,alpha_used
Cold,1.0,SII,0.051628167430559764,0.00023206430209194532,0.29294046996944956
Cold,2.0,SII,0.05258896822730693,0.00032118771914383906,0.2842936612497388
Cold,3.0,SII,0.05441549917062124,0.0003152825188952536,0.2847873536536777
Cold,4.0,SII,0.0571691257258256,0.00019895179296538818,0.2970363068126454
Cold,5.0,SII,0.058061871677637066,0.0001822977860659747,0.2993621117446583
Cold,6.0,SII,0.06199230874578154,6.341481381180172e-05,0.32745512760712275
Cold,7.0,SII,0.06545162945985787,3.382825466976177e-05,0.3441735154158956
Cold,8.0,SII,0.06765337660908696,2.213090741280214e-05,0.35546243093700175
Cold,9.0,SII,0.06993958353996273,1.3373929010092782e-05,0.3688623374110145
Cold,10.0,SII,0.07313623030980423,5.6422993510718555e-06,0.39182255914018077
Cold,11.0,SII,0.0764431705077489,3.567974970290303e-06,0.40401529391535274
Cold,12.0,SII,0.07828231652577713,1.8971679161724115e-06,0.4208197449734668
Cold,13.0,SII,0.0812079658110936,7.252937642328779e-07,0.44640119384385535
Cold,14.0,SII,0.08344796299934383,3.8274081511543073e-07,0.4634073807839683
Cold,15.0,SII,0.08460200826326998,3.141137226621756e-07,0.46866453680698184
Cold,16.0,SII,0.08462727814912792,2.662322845144634e-07,0.47306457030729643
Cold,17.0,SII,0.08651875207821524,1.119341405490341e-07,0.4961163908553686
Cold,18.0,SII,0.08840658515691753,4.3536556211994564e-08,0.5212394148793517
Cold,19.0,SII,0.08932667970657347,3.232831143525535e-08,0.5291584893864959
Cold,20.0,SII,0.09158741434415178,2.6815825930152453e-08,0.5341322576748362
Cold,21.0,SII,0.0930198580026626,4.1507209151229566e-08,0.5225093564848615
Cold,22.0,SII,0.09570399175087607,1.2646652169934214e-08,0.5541283005126744
Cold,23.0,SII,0.09652667989333467,7.998639232435304e-09,0.5663164494222597
Cold,24.0,SII,0.09651310493548708,8.60595676203483e-09,0.5643694369700173
Cold,25.0,SII,0.0959268112977345,1.0665274515394193e-08,0.5586617169688599
Cold,26.0,SII,0.09519055485725396,1.4650144800990958e-08,0.5502158829675836
Cold,27.0,SII,0.09280349065860109,3.434332633093599e-08,0.5275498567482232
Cold,28.0,SII,0.09052051852146781,7.408853345639936e-08,0.5070947944749684
Cold,30.0,SII,0.08645713577667867,3.9881690187352586e-07,0.4623127491358767
Cold,40.0,SII,0.07542578627665834,1.62803132959984e-05,0.3636305503448546
Cold,50.0,SII,0.0484920777380466,0.0057822936817127244,0.2073921393743999
Cold,60.0,SII,0.02088098321110007,0.2505777605209541,0.15000000000006125
Cold,75.0,SII,0.0310089951381087,0.2139394717937654,0.15000000000006125
Cold,90.0,SII,0.06936835559705891,0.058418241411893744,0.15000000000006125
