scenario,omni_var,bin_id,bin_label,temp_mean,rho,n_eff,neff_factor,n,p_adj,window,ci_lower,ci_upper,p_fdr,panel
Global_High_LAI,sii_mean_ma1,0,Cold,1.0163326263427734,0.0136022614315152,10004.8115234375,0.2640349268913269,37892,0.173688742727379,1,-0.005995052696267076,0.03318913116969767,0.18454428914784018,A
Global_High_LAI,sii_mean_ma1,1,Cool,11.208537101745604,0.0145291471853852,19231.509765625,0.3405736088752746,56468,0.0439209589051328,1,0.00039557826687496836,0.028656912642179483,0.0439209589051328,A
Global_High_LAI,sii_mean_ma1,3,Warm_Stress,27.16579818725586,-0.0155638242140412,21750.31853009523,0.3197917859572327,68014,0.021712604309142,1,-0.028847938619538424,-0.0022742131798217436,0.02381382408099445,A
Global_High_LAI,sii_mean_ma1,2,Optimum,20.4780216217041,-0.0006751166074536,36416.62000388328,0.3609859141353008,100881,0.897492931098435,1,-0.01094594946855846,0.0095958586918037,0.9788391510235469,A
Global_High_LAI,sii_mean_ma1,4,Extreme_Heat,31.794189453125,-0.003634356893599,3040.37158203125,0.1869617253541946,16262,0.8412341439400324,1,-0.03917802337538104,0.03191849502838,0.9883975098598016,A
Global_High_LAI,sii_mean_ma2,2,Optimum,20.4780216217041,-0.0007423012866638,34713.62147293683,0.3441046527387399,100881,0.8900052341849556,2,-0.01126204657536458,0.009777608298297984,0.9788391510235469,A
Global_High_LAI,sii_mean_ma2,1,Cool,11.208537101745604,0.0164649374783039,18162.51171875,0.3216425478458404,56468,0.0264901023357095,2,0.0019217493248360339,0.031001162267971477,0.027292832709518877,A
Global_High_LAI,sii_mean_ma2,3,Warm_Stress,27.16579818725586,-0.0167291294783353,20621.5726936347,0.3031959992594862,68014,0.0162896171102844,2,-0.030371162216710757,-0.003080865400611388,0.018461566058322318,A
Global_High_LAI,sii_mean_ma2,4,Extreme_Heat,31.794189453125,-0.0022688428871333,2800.136474609375,0.1721889376640319,16262,0.9044789059339928,2,-0.03930805606161283,0.03477659663201857,0.9883975098598016,A
Global_High_LAI,sii_mean_ma2,0,Cold,1.0163326263427734,0.013254826888442,9405.59375,0.2482210993766784,37892,0.1986626463195315,2,-0.006957352435882213,0.033456180064565084,0.20468272651103245,A
Global_High_LAI,sii_mean_ma3,0,Cold,1.0163326263427734,0.0161966383457183,9060.783203125,0.2391212731599807,37892,0.1231668409789994,3,-0.004396125563776744,0.03677567105743865,0.13508621268664447,A
Global_High_LAI,sii_mean_ma3,1,Cool,11.208537101745604,0.0168208815157413,17696.595703125,0.3133915662765503,56468,0.0252433825506384,3,0.002087537077301372,0.03154692484133783,0.0268210939600533,A
Global_High_LAI,sii_mean_ma3,3,Warm_Stress,27.16579818725586,-0.0174555703997612,20105.60782507255,0.2956098424599722,68014,0.0133186159259806,3,-0.03127102188390227,-0.00363345029311927,0.016771590425308906,A
Global_High_LAI,sii_mean_ma3,4,Extreme_Heat,31.794189453125,0.0008736603776924,2646.483154296875,0.1627403199672699,16262,0.9641684104729844,3,-0.037230431688514996,0.03897521563771165,0.9883975098598016,A
Global_High_LAI,sii_mean_ma3,2,Optimum,20.4780216217041,0.0014544938458129,33943.396316734434,0.3364696654150378,100881,0.7887283026933256,3,-0.00918416869235445,0.012092827150927826,0.9788391510235469,A
Global_High_LAI,sii_mean_ma4,2,Optimum,20.4780216217041,0.0031492663547396,33521.83293874344,0.3322908470251429,100881,0.564224486798512,4,-0.007556194563548725,0.013854005459272753,0.9788391510235469,A
Global_High_LAI,sii_mean_ma4,4,Extreme_Heat,31.794189453125,0.0030921464785933,2540.447509765625,0.156219869852066,16262,0.8762090598459964,4,-0.0358022039613672,0.04197714366297522,0.9883975098598016,A
Global_High_LAI,sii_mean_ma4,3,Warm_Stress,27.16579818725586,-0.0182141046971082,19799.954750241173,0.2911158695304081,68014,0.010377217756067,4,-0.03213523544808023,-0.004285908309143297,0.013570207834856846,A
Global_High_LAI,sii_mean_ma4,1,Cool,11.208537101745604,0.0178924687206745,17407.486328125,0.3082717061042785,56468,0.0182401927542485,4,0.003037562637123208,0.03273947987456528,0.02000537269820803,A
Global_High_LAI,sii_mean_ma4,0,Cold,1.0163326263427734,0.0202381573617458,8848.5390625,0.2335199862718582,37892,0.0569542000065699,4,-0.0005988966832645592,0.041057644907006426,0.06677388966287505,A
Global_High_LAI,sii_mean_ma5,0,Cold,1.0163326263427734,0.0218411181122064,8709.80078125,0.2298585623502731,37892,0.0415197799952016,5,0.0008393944822049453,0.04282358319448311,0.05041687570845908,A
Global_High_LAI,sii_mean_ma5,1,Cool,11.208537101745604,0.0204797405749559,17276.34375,0.3059492707252502,56468,0.0071038892746662,5,0.005569449198329185,0.035380927712879755,0.008051074511288359,A
Global_High_LAI,sii_mean_ma5,3,Warm_Stress,27.16579818725586,-0.0173622760921716,19651.16695109641,0.2889282640499957,68014,0.0149363795728585,5,-0.03133658681248292,-0.003381178975220222,0.017511617430247896,A
Global_High_LAI,sii_mean_ma5,2,Optimum,20.4780216217041,0.0057488568127155,33309.30069371419,0.3301840851469969,100881,0.294093574233452,5,-0.004990756271623236,0.01648714387885124,0.9510106466202581,A
Global_High_LAI,sii_mean_ma5,4,Extreme_Heat,31.794189453125,0.0058493395335972,2472.47900390625,0.1520402729511261,16262,0.7712745510929488,5,-0.03357946212993121,0.04525996183849798,0.9883975098598016,A
Global_High_LAI,sii_mean_ma6,2,Optimum,20.4780216217041,0.006463324651122,33152.82928492629,0.3286330358038311,100881,0.2392734275430281,6,-0.00430159324552731,0.01722674470881777,0.9510106466202581,A
Global_High_LAI,sii_mean_ma6,4,Extreme_Heat,31.794189453125,0.0063768522813916,2419.6611328125,0.1487923413515091,16262,0.7538865454903201,6,-0.033480722351033394,0.046214175514813126,0.9883975098598016,A
Global_High_LAI,sii_mean_ma6,3,Warm_Stress,27.16579818725586,-0.0175823867321014,19537.72599265779,0.2872603580536035,68014,0.0139848109624685,6,-0.03159704789035234,-0.003560813291723687,0.016981556168711748,A
Global_High_LAI,sii_mean_ma6,1,Cool,11.208537101745604,0.0230251681059598,17177.853515625,0.3042050898075104,56468,0.0025448396860945,6,0.008073266374845343,0.037966776483414545,0.002983605149214241,A
Global_High_LAI,sii_mean_ma6,0,Cold,1.0163326263427734,0.0259917303919792,8617.259765625,0.2274163365364074,37892,0.0158283741755369,6,0.004879824087983582,0.047080476784311126,0.019932026739564988,A
Global_High_LAI,sii_mean_ma7,0,Cold,1.0163326263427734,0.0281780753284692,8541.8486328125,0.2254261821508407,37892,0.0092031651891275,7,0.006974654634666752,0.04935616929398966,0.012034908324243653,A
Global_High_LAI,sii_mean_ma7,1,Cool,11.208537101745604,0.0242221485823392,17108.9921875,0.3029856383800506,56468,0.0015321562934471,7,0.00924075518900257,0.039192670545240386,0.001860475499185764,A
Global_High_LAI,sii_mean_ma7,3,Warm_Stress,27.16579818725586,-0.0195026695728302,19461.95248515101,0.2861462711375748,68014,0.0065119144839,7,-0.03354320157437781,-0.005454441051279069,0.008856203698104,A
