scenario,omni_var,bin_id,bin_label,temp_mean,rho,n_eff,neff_factor,n,p_adj,window,ci_lower,ci_upper,p_fdr,panel
Global_High_LAI,sii_mean_ma1,0,Cold,-0.2093890011310577,-0.0639909282326698,4311.189711613552,0.0611828694313912,70464,2.614133846945421e-05,1,-0.09366442660506356,-0.034203843239888954,2.867114541811107e-05,A
Global_High_LAI,sii_mean_ma1,1,Cool,11.104832649230955,-0.022159481421113,12162.983932899637,0.1716093449531524,70876,0.0145283391013188,1,-0.03991606982788333,-0.004388901522421843,0.059234648575854344,A
Global_High_LAI,sii_mean_ma1,3,Warm_Stress,27.170061111450195,0.0148358223959803,16948.07252914398,0.2169353283730429,78125,0.0534383195478986,1,-0.00021994701803346251,0.02988486747844359,0.06265182291822594,A
Global_High_LAI,sii_mean_ma1,2,Optimum,20.470029830932617,0.0182188767939806,28080.401999984097,0.2348468415725154,119569,0.0022649607180493,1,0.006523716357457476,0.02990905386150624,0.0024841504649572967,A
Global_High_LAI,sii_mean_ma1,4,Extreme_Heat,31.8138484954834,0.0351475737988948,2579.38330078125,0.1337438225746154,19286,0.0743021831805834,1,-0.003452465689825422,0.07364303069283079,0.0743021831805834,A
Global_High_LAI,sii_mean_ma2,2,Optimum,20.470029830932617,0.0196641683578491,26570.84384012207,0.2222218454626372,119569,0.0013481409706603,2,0.007641753255614967,0.03168089949229642,0.0015278931000816734,A
Global_High_LAI,sii_mean_ma2,1,Cool,11.104832649230955,-0.0223920978605747,11398.971603905802,0.1608297816454907,70876,0.0168139278036274,2,-0.04073361643439923,-0.00403549342125989,0.059234648575854344,A
Global_High_LAI,sii_mean_ma2,3,Warm_Stress,27.170061111450195,0.0160166919231414,16042.280181399963,0.2053411863219195,78125,0.042497399614916,2,0.0005418866044725326,0.031483828054490376,0.05193062892653416,A
Global_High_LAI,sii_mean_ma2,4,Extreme_Heat,31.8138484954834,0.0388472862541675,2369.508056640625,0.1228615641593933,19286,0.0586633016677327,2,-0.0014235996994918997,0.07899237523674908,0.06044097747584581,A
Global_High_LAI,sii_mean_ma2,0,Cold,-0.2093890011310577,-0.0678751915693283,4004.634455151987,0.056832346377611,70464,1.716422100206394e-05,2,-0.09864188997968533,-0.036978854542306754,1.945278380233913e-05,A
