bin_label,window,driver,rho_abs,p_adj,alpha_used
Cold,1.0,SII,0.04964249332745863,0.00012589019369836939,0.3039193035112676
Cold,2.0,SII,0.04925833766659097,0.00022859103911869406,0.2885765584723151
Cold,3.0,SII,0.050771741817394835,0.00021823383918054146,0.28976913865798637
Cold,4.0,SII,0.05418467521667477,0.00011172040037493414,0.3069905743094348
Cold,5.0,SII,0.055186549822489404,0.00010522704541512716,0.30853067499815906
Cold,6.0,SII,0.0585780243078867,3.811137700204803e-05,0.33465232959301994
Cold,7.0,SII,0.06170820817351338,2.2285710238767464e-05,0.3484529584691882
Cold,8.0,SII,0.0636318835119406,1.7899075666812554e-05,0.35409074465819496
Cold,9.0,SII,0.0649816828469435,1.3455870043902843e-05,0.3614295900425065
Cold,10.0,SII,0.0676991020639737,5.840118517156749e-06,0.38289734588048946
Cold,11.0,SII,0.0704880319535732,4.261702806873657e-06,0.3910013335971123
Cold,12.0,SII,0.07202371954917904,2.3816936335722496e-06,0.40596682598035716
Cold,13.0,SII,0.07441415886084234,1.0650145097675552e-06,0.42666706628848433
Cold,14.0,SII,0.07631841550270714,5.85846486507909e-07,0.44203968311111524
Cold,15.0,SII,0.07760664075613016,5.206522275535973e-07,0.445074039054252
Cold,16.0,SII,0.07764697571595507,4.3648046887945213e-07,0.4496095097550644
Cold,17.0,SII,0.0792194753885269,1.8440857811145386e-07,0.47176979414164644
Cold,18.0,SII,0.08117300520340597,5.812130599025523e-08,0.5014669205845284
Cold,19.0,SII,0.08219081411759054,2.4163946769443598e-08,0.5240408065058051
Cold,20.0,SII,0.08437453955411911,1.1529779797569974e-08,0.5430719343271165
Cold,21.0,SII,0.0859375769893328,1.3709877455525543e-08,0.5386176202142716
Cold,22.0,SII,0.08858085423707956,3.852212770993902e-09,0.5712686453295647
Cold,23.0,SII,0.08961002777020133,2.2455746891599424e-09,0.5851494977582362
Cold,24.0,SII,0.08947567641735073,2.6132018771107823e-09,0.5812499316701445
Cold,25.0,SII,0.08890446772178011,3.259380099152054e-09,0.5755667704359173
Cold,26.0,SII,0.08849816521008806,4.004416650123706e-09,0.5702719817982385
Cold,27.0,SII,0.08645700663328167,9.184266384446952e-09,0.548921778317522
Cold,28.0,SII,0.08419931928316747,2.0811058950206036e-08,0.5278828216866841
Cold,30.0,SII,0.08032339562972383,1.3260254013343817e-07,0.48025226282403843
Cold,40.0,SII,0.0703598409891128,6.842390799510768e-06,0.3788236192845599
Cold,50.0,SII,0.044460063179333965,0.005552770271799204,0.20652601080354538
Cold,60.0,SII,0.019336972075204,0.258032569162335,0.15000000000005925
Cold,75.0,SII,0.0292169960836569,0.2419027015429884,0.15000000000005925
Cold,90.0,SII,0.06496458128094669,0.0752765066743294,0.15000000000005925
Cold,1.0,PAR,0.139912948012352,1e-16,1.0
Cold,2.0,PAR,0.1348403543233871,1e-16,1.0
Cold,3.0,PAR,0.130393698811531,1e-16,1.0
Cold,4.0,PAR,0.1241879388689994,1e-16,1.0
